X value [cm⁻¹],IR Spectrum 140/OPTIR (mV) [],biomass/OPTIR (mV) [],biomass/OPTIR (mV) [],biomass/OPTIR (mV) [],biomass/OPTIR (mV) []
1296,0.868796885,0.689264834,0.174951226,1.403540492,3.653174639
1298,0.889890194,0.673331082,0.175279453,1.347935319,3.461518049
1300,0.905007064,0.665369213,0.179910317,1.309855938,3.328289509
1302,0.891594768,0.647632122,0.184182063,1.27028954,3.242442131
1304,0.854961693,0.646708608,0.185457066,1.2263515,3.158017635
1306,0.844277859,0.662067533,0.190870643,1.203193188,3.081638575
1308,0.857362211,0.638801515,0.199861839,1.178783536,3.012058735
1310,0.874747396,0.616438985,0.200964004,1.166158915,2.955229282
1312,0.881790757,0.549636841,0.193260342,1.1892488,2.917658329
1314,0.889699876,0.524635494,0.198581681,1.18624568,2.900402546
1316,0.884008884,0.497793406,0.195369586,1.174252748,2.89402318
1318,0.893344939,0.469801217,0.190658614,1.190783501,2.949420452
1320,0.883436859,0.549064457,0.20256424,1.151823521,2.960959673
1322,0.855919182,0.652154386,0.21699132,1.082478762,2.921179056
1324,0.845690966,0.680820525,0.227243006,1.036684752,2.868504286
1326,0.861597061,0.667875051,0.236268118,1.015966654,2.813486099
1328,0.873559296,0.633629382,0.236592412,0.991354287,2.76465106
1330,0.87708509,0.60274899,0.242423713,0.983482659,2.732745886
1332,0.883665204,0.586462855,0.250772268,0.972469985,2.742503643
1334,0.86996609,0.567663491,0.246774495,0.968103468,2.771854639
1336,0.846440256,0.551941514,0.228698611,1.007652044,2.827638626
1338,0.830770373,0.557435155,0.192712009,1.115302563,2.891849756
1340,0.829152584,0.545006394,0.213334188,1.11871314,2.840603352
1342,0.85287869,0.529433548,0.258597285,1.035162687,2.762265682
1344,0.874912977,0.526979387,0.281937748,1.024256229,2.745482683
1346,0.88939023,0.532039046,0.293312192,1.041049361,2.740699053
1348,0.90839678,0.548927248,0.290205389,1.074238777,2.786794901
1350,0.94145453,0.562443674,0.310562015,1.091303229,2.81434989
1352,0.959210515,0.581267774,0.326622933,1.098005533,2.838325262
1354,0.975755453,0.594575584,0.337895721,1.112271786,2.899109602
1356,1.016508579,0.629115105,0.358591318,1.129811645,2.968917847
1358,1.055815935,0.660897553,0.375936359,1.147010684,3.029882908
1360,1.075825691,0.653140247,0.34270373,1.197689652,3.087866783
1362,1.082597971,0.630065322,0.302747339,1.293071747,3.190755367
1364,1.163117886,0.912287474,0.411526263,1.388821602,3.223323584
1366,1.30135107,1.310869098,0.464221895,1.470131516,3.227151394
1368,1.499136448,1.547932148,0.468163997,1.568741918,3.349832773
1370,1.697357655,1.824272037,0.523105502,1.556998372,3.310924053
1372,1.828304887,1.744823456,0.486428142,1.679074407,3.556757212
1374,1.850028396,1.689545512,0.499735862,1.582271338,3.787981987
1376,1.645800591,1.797918677,0.608216524,0.953827918,3.58598423
1378,1.614498138,1.660311222,0.627534866,0.957970917,3.676783085
1380,1.589628458,1.594599485,0.619438469,0.999707401,3.277572393
1382,1.571412325,1.539120317,0.593458116,0.937669098,2.822273254
1384,1.51388371,1.345843911,0.537990034,0.867797792,2.371915817
1386,1.423461199,1.127971768,0.428103119,1.03926909,2.89951992
1388,1.413016677,1.145310402,0.422328919,1.26971662,3.156038046
1390,1.386439562,1.091562629,0.426378459,1.287836432,3.089777708
1392,1.300319076,0.904122949,0.393869668,1.244709849,3.040918827
1394,1.145682216,0.66973412,0.288282394,1.317652702,3.073182583
1396,1.104575992,0.633039832,0.2629278,1.378861427,3.031162024
1398,1.010485291,0.638397217,0.227671877,1.358365178,2.992310524
1400,1.108844161,0.690978706,0.288367897,1.43120873,2.962026834
1402,1.257251859,0.667682171,0.315307915,1.52124691,3.035988808
1404,1.311036229,0.588688612,0.289328843,1.62678957,3.252306223
1406,1.387201309,0.553745389,0.30911079,1.666663885,3.296296358
1408,1.409277439,0.523718834,0.318184853,1.712638617,3.35583806
1410,1.376836658,0.486855328,0.299452126,1.727607012,3.420794964
1412,1.348439217,0.472054154,0.289511204,1.639636517,3.338466644
1414,1.29764092,0.446712613,0.25650388,1.488327742,3.156961679
1416,1.140503764,0.414753079,0.177992851,1.367815495,2.948385477
1418,0.985043943,0.394959867,0.122843094,1.349680543,2.79763937
1420,0.98608917,0.420233101,0.146534413,1.358145118,2.669935703
1422,0.97721684,0.43935746,0.144718796,1.326145411,2.593362331
1424,0.973396361,0.455996275,0.147224531,1.2979182,2.552026987
1426,0.997960508,0.442655802,0.16089198,1.3250947,2.578025341
1428,0.957368672,0.436886281,0.143781036,1.329952121,2.594628334
1430,0.92061013,0.447666347,0.147331208,1.340209365,2.66562748
1432,0.941233933,0.460983306,0.159598276,1.380411506,2.793919563
1434,0.93971473,0.463946193,0.16086176,1.430136919,2.901582718
1436,0.882294416,0.475988746,0.16530332,1.48730886,2.949804068
1438,0.925263226,0.511203945,0.173982754,1.557127953,3.025729418
1440,0.944996178,0.536388457,0.193971008,1.610409021,3.101477385
1442,0.978574216,0.552271307,0.200348124,1.684826255,3.253837347
1444,0.974549472,0.564268172,0.197111338,1.735663176,3.394273758
1446,0.93705225,0.560863197,0.185697734,1.773619294,3.523249149
1448,0.952343285,0.572832823,0.202590361,1.934101582,3.813283443
1450,0.967627466,0.576241851,0.189212844,1.683100343,4.088180065
1452,0.983439565,0.579768598,0.175373331,1.423430443,4.372570992
1454,0.999807298,0.583419323,0.161047444,1.154634953,4.666955948
1456,1.000848532,0.571858227,0.178211346,1.12849462,4.743584156
1458,1.083861589,0.558271945,0.210162595,1.137767673,5.047232151
1460,1.18830955,0.548013568,0.175571367,1.052621603,5.173851967
1462,1.307099462,0.556022167,0.165689051,1.121227622,5.579614639
1464,1.288796186,0.532198489,0.182224125,1.175303459,5.405235767
1466,1.141140461,0.501617789,0.162583962,1.137611866,4.668841839
1468,1.019059658,0.480134785,0.139057457,1.069137454,4.164715767
1470,0.963416815,0.450612485,0.122081012,1.041721344,3.957568407
1472,0.929244816,0.396742851,0.131931663,1.051043153,3.962958336
1474,0.810821652,0.365483612,0.13084805,0.906663299,3.436713696
1476,0.671847999,0.365922064,0.112417966,0.75463295,2.903715849
1478,0.625197589,0.380680442,0.128139272,0.670452476,2.564771891
1480,0.628281176,0.385522693,0.131147444,0.62658608,2.433585644
1482,0.6180076,0.392434865,0.136391237,0.585826635,2.349790096
1484,0.611493826,0.396173298,0.156555325,0.571829617,2.303758144
1486,0.618617058,0.389616966,0.163335249,0.564941347,2.298645735
1488,0.603987038,0.388152391,0.160571575,0.564004183,2.309034824
1490,0.62371999,0.427684128,0.176216543,0.592635095,2.3734231
1492,0.721351802,0.479776204,0.183984414,0.643066108,2.528018951
1494,0.743399739,0.491488934,0.202580884,0.675234735,2.620208502
1496,0.777003586,0.502619922,0.200599894,0.715074122,2.781727076
1498,0.854762912,0.559886694,0.198526874,0.79576689,3.056979656
1500,0.907887578,0.582323551,0.219272941,0.877378702,3.242956161
1502,0.960210323,0.616879463,0.24985604,0.956465781,3.496194363
1504,0.968582153,0.609259844,0.248862833,0.980459213,3.65250349
1506,0.950122774,0.59992826,0.264606655,1.026302099,4.107094288
1508,0.922719717,0.648870826,0.234574512,0.991995752,3.840202093
1510,1.033898234,0.718559086,0.248972371,1.003262997,3.683015108
1512,1.136323929,0.766805172,0.269504398,1.051688075,3.811717272
1514,1.205824018,0.781517208,0.261830986,1.082391262,3.871600389
1516,1.179649234,0.769100368,0.26072666,1.062491775,3.853141308
1518,1.106495619,0.785491109,0.260345161,1.071207285,3.819685459
1520,1.060520291,0.73698473,0.271302432,1.019395471,3.770305157
1522,1.270093679,0.837086916,0.34827131,1.159082413,4.258296967
1524,1.217004299,0.804464936,0.30927372,1.119747043,4.014620304
1526,1.212388992,0.807308793,0.278612465,1.146294475,3.925938845
1528,1.204681158,0.854546189,0.282333195,1.194406152,3.956672668
1530,1.233422637,0.862936258,0.291671008,1.202391744,3.927434683
1532,1.176299214,0.825497806,0.2849316,1.163312078,3.843961
1534,1.168917179,0.853709221,0.278837621,1.216569543,3.946197987
1536,1.192580581,0.873972356,0.277151287,1.219199061,3.932333231
1538,1.130633831,0.808363616,0.255901694,1.133283138,3.763367891
1540,1.008416414,0.701092184,0.237702012,1.085642695,3.705512524
1542,0.991702497,0.752591014,0.222859174,1.121681213,3.765997887
1544,1.000720263,0.811062992,0.224928886,1.119730234,3.670358658
1546,1.070965528,0.809924424,0.211598098,1.103393316,3.513701916
1548,1.062952042,0.776844859,0.208835855,1.072562814,3.390121698
1550,1.032884717,0.750525355,0.200776905,1.035880327,3.283621073
1552,0.974530339,0.730766773,0.193609521,0.986666918,3.13912034
1554,0.900295377,0.70156014,0.190379947,0.958413124,3.059033394
1556,0.831157207,0.653434753,0.20164375,0.904324532,2.945407867
1558,0.736720145,0.572653353,0.196522519,0.799316108,2.833082914
1560,0.750519812,0.579910636,0.156344056,0.793263912,2.65647912
1562,0.764595687,0.578239441,0.157945156,0.772159159,2.525878906
1564,0.732874632,0.560993254,0.152298823,0.732788086,2.442757845
1566,0.706220508,0.525838375,0.139619425,0.706708431,2.327648401
1568,0.646578789,0.486303389,0.127017081,0.677439511,2.247698307
1570,0.615179479,0.469506145,0.11687059,0.669298947,2.210141182
1572,0.605482936,0.461700529,0.115640327,0.669473231,2.170915842
1574,0.578069746,0.436247766,0.118613422,0.658209443,2.14928031
1576,0.549691141,0.420353889,0.12678799,0.683844924,2.203756809
1578,0.557525814,0.415698379,0.120395973,0.67137295,2.151289225
1580,0.586942673,0.408373326,0.118200302,0.654840589,2.093738317
1582,0.59517175,0.401807725,0.114565492,0.635574639,2.027193308
1584,0.612510681,0.391260535,0.11082232,0.620478988,1.986176968
1586,0.612197518,0.38512677,0.114362516,0.617618859,1.959263086
1588,0.621839166,0.380605221,0.114389598,0.618191481,1.953705192
1590,0.633906841,0.379330099,0.113052219,0.620753706,1.96880281
1592,0.641645253,0.385345936,0.108346865,0.62929976,1.991423488
1594,0.662012458,0.386331618,0.111977756,0.641479492,2.026770592
1596,0.676286817,0.399003476,0.113642089,0.676396489,2.079879522
1598,0.689635336,0.405982673,0.118188895,0.721467078,2.147816658
1600,0.683774114,0.405409038,0.12072932,0.752103806,2.215222836
1602,0.691182554,0.421185464,0.125781089,0.777549386,2.298323393
1604,0.737622261,0.440875471,0.120316453,0.824160457,2.37419939
1606,0.73973453,0.459003776,0.11979533,0.862461209,2.451389551
1608,0.770980895,0.483476251,0.126459688,0.908859789,2.561150312
1610,0.897439957,0.519335508,0.112138897,0.999143541,2.728110313
1612,1.020500302,0.539805532,0.105912752,1.044653773,2.888495445
1614,1.045915961,0.529717743,0.116850577,1.024466634,2.955368757
1616,1.030310035,0.541492641,0.143994614,1.073298216,3.124823093
1618,1.344015598,0.800158858,0.122254886,1.248979688,3.373797178
1620,1.629107475,1.307025552,0.114882641,1.453296185,3.543166876
1622,1.63006413,1.352503538,0.136255249,1.525931954,3.740190268
1624,2.613249063,3.16209507,0.148299828,1.681447983,4.158077717
1626,3.207707405,4.137320042,0.162307709,1.696168423,4.323289394
1628,4.018144608,4.049725533,0.262184978,1.742069006,4.506183147
1630,4.486299038,3.352967739,0.407372534,1.761837721,4.486310005
1632,4.705870628,2.883007765,0.427617013,1.881430626,4.565742493
1634,4.644108295,2.757102251,0.330386788,2.073277235,4.818917751
