,"IR Spectrum 2/O-PTIR","IR Spectrum 3/O-PTIR","IR Spectrum 4/O-PTIR","IR Spectrum 5/O-PTIR","IR Spectrum 6/O-PTIR","IR Spectrum 7/O-PTIR"
1405,3.91566300392151,5.57611608505249,2.32578754425049,0.598586976528168,1.89128375053406,2.14849710464478
1407,3.77682971954346,5.34185600280762,2.21958017349243,0.577124178409576,1.82701063156128,2.03468823432922
1409,3.58721661567688,5.16595125198364,2.14630389213562,0.545900583267212,1.72170078754425,1.97446322441101
1411,3.40645718574524,5.01150512695313,2.07053303718567,0.522466480731964,1.64868581295013,1.91565704345703
1413,3.22741317749023,4.81397867202759,1.99776649475098,0.515579462051392,1.67737936973572,1.85923838615417
1415,3.09786796569824,4.60515022277832,1.92711102962494,0.481104999780655,1.58583116531372,1.76100647449493
1417,2.94812273979187,4.35400152206421,1.79050660133362,0.412620365619659,1.45084643363953,1.67491483688354
1419,2.86453461647034,4.10243892669678,1.75954174995422,0.330449044704437,1.30204713344574,1.61545789241791
1421,2.86064052581787,4.11604166030884,1.77408504486084,0.352573126554489,1.24312901496887,1.60872197151184
1423,2.8403742313385,4.12367343902588,1.6827597618103,0.35623687505722,1.24916219711304,1.54581797122955
1425,2.83943510055542,4.1699390411377,1.65397667884827,0.360637843608856,1.34458708763123,1.52757668495178
1427,2.82045936584473,4.32345390319824,1.68530869483948,0.367270946502686,1.45304548740387,1.53779184818268
1429,2.840487241745,4.53538799285889,1.74866724014282,0.369363993406296,1.49632859230042,1.63014328479767
1431,3.25556063652039,4.95677757263184,1.98235011100769,0.480407625436783,1.63406658172607,1.76730096340179
1433,3.83545756340027,5.76658630371094,2.28440451622009,0.633587062358856,1.91862046718597,2.07396245002747
1435,4.32411623001099,6.50259780883789,2.62279987335205,0.697413206100464,2.18731594085693,2.3484570980072
1437,5.54778909683228,8.25591278076172,3.32295036315918,0.960190832614899,2.81561779975891,3.02804350852966
1439,6.67705154418945,10.0679311752319,4.01113653182983,1.14066207408905,3.40519380569458,3.6222198009491
1441,7.83534526824951,11.9374647140503,4.79648971557617,1.4419207572937,4.05375623703003,4.20381593704224
1443,9.24408149719238,14.4191608428955,5.77137041091919,1.88199388980865,4.91373682022095,5.07457733154297
1445,10.9954700469971,16.9087162017822,6.81901741027832,2.38589406013489,5.87183713912964,6.06685018539429
1447,13.401216506958,20.1879215240479,8.24757194519043,2.96329140663147,6.90312099456787,7.19618082046509
1449,16.2242393493652,24.740291595459,10.1808452606201,3.51841068267822,8.38309574127197,8.78798770904541
1451,18.9530830383301,29.1407890319824,12.0496206283569,4.0550103187561,9.81369590759277,10.3266906738281
1453,21.5923805236816,33.3968887329102,13.8570747375488,4.57400178909302,11.1973524093628,11.8149013519287
1455,17.4542198181152,27.0306415557861,11.0643320083618,3.53094363212585,8.87917900085449,9.49024868011475
1457,10.7687730789185,16.6030311584473,6.6613507270813,2.01611471176147,5.19480895996094,5.56744289398193
1459,5.49086713790894,8.52763843536377,3.31757926940918,0.863503217697144,2.4446485042572,2.7553277015686
1461,3.78616118431091,5.8228063583374,2.2056577205658,0.500091195106506,1.68789541721344,1.95670533180237
1463,3.19585084915161,4.83861494064331,1.83279585838318,0.386299312114716,1.4047247171402,1.608158826828
1465,2.90738987922668,4.24773216247559,1.73347580432892,0.196126475930214,1.12500977516174,1.3396008014679
