,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 15/O-PTIR","O-PTIR 16/O-PTIR","O-PTIR 17/O-PTIR","O-PTIR 18/O-PTIR","O-PTIR 19/O-PTIR","O-PTIR 22/O-PTIR","O-PTIR 24/O-PTIR","O-PTIR 25/O-PTIR","O-PTIR 26/O-PTIR","O-PTIR 27/O-PTIR"
981,0.227385282516479,1.17405068874359,1.17038583755493,0.522338151931763,0.922174096107483,1.233802318573,0.898352742195129,2.15219569206238,1.52872967720032,0.308069109916687,0.0166277308017015,0.0956825315952301,1.9900426864624,0.355016142129898,0.988106429576874,1.59153616428375,0.470576554536819,0.355847805738449,0.5666144490242,0.396476358175278
983,0.271270275115967,1.2624100446701,1.26541352272034,0.577218651771545,0.997005045413971,1.27388715744019,0.952985942363739,2.21077847480774,1.56876707077026,0.353320360183716,-0.0411019176244736,0.112881220877171,2.02891135215759,0.369368642568588,1.04469525814056,1.62248039245605,0.462873339653015,0.418228149414063,0.628240048885345,0.456381142139435
985,0.333593517541885,1.36547660827637,1.37786328792572,0.637272417545319,1.02557790279388,1.33318591117859,1.01684880256653,2.28490018844604,1.59609770774841,0.378651410341263,-0.0694416165351868,0.107093319296837,2.09021878242493,0.381088882684708,1.09787809848785,1.67809545993805,0.465216398239136,0.470044165849686,0.661690354347229,0.486038506031036
987,0.398520201444626,1.46282553672791,1.50767242908478,0.702256381511688,1.05580592155457,1.40429079532623,1.05696022510529,2.34518694877625,1.62946403026581,0.404825210571289,-0.0484950467944145,0.0795300677418709,2.17965412139893,0.354341775178909,1.13561916351318,1.74688839912415,0.503566205501556,0.509172737598419,0.709986686706543,0.516954839229584
989,0.420051515102386,1.54459202289581,1.61312663555145,0.786773979663849,1.09019076824188,1.50337016582489,1.09411764144897,2.44548797607422,1.69468760490417,0.476242125034332,-0.0420528128743172,0.0556918866932392,2.29996490478516,0.341323852539063,1.17114853858948,1.83129692077637,0.560274541378021,0.532824695110321,0.75539094209671,0.556979417800903
991,0.422983348369598,1.64739191532135,1.71333336830139,0.877984881401062,1.14603638648987,1.58113312721252,1.14657044410706,2.56749415397644,1.77197957038879,0.559629678726196,-0.0528971739113331,0.0676438584923744,2.40307545661926,0.35528153181076,1.20726656913757,1.9058655500412,0.643783807754517,0.558331429958344,0.791440904140472,0.603736162185669
993,0.436900347471237,1.79071521759033,1.84690606594086,0.968327164649963,1.22326910495758,1.67265772819519,1.2181351184845,2.70354795455933,1.8270138502121,0.626580357551575,-0.0570145845413208,0.0963490158319473,2.50387501716614,0.392031013965607,1.24214553833008,1.99342083930969,0.746545433998108,0.588996052742004,0.842848241329193,0.664640367031097
995,0.457117766141891,1.93387806415558,1.95498371124268,1.03501462936401,1.32900869846344,1.80411994457245,1.32527410984039,2.82615423202515,1.86175155639648,0.69337010383606,-0.0731058791279793,0.121879935264587,2.61161422729492,0.413983434438705,1.28204214572906,2.06944680213928,0.828304708003998,0.631532371044159,0.880315780639648,0.720087289810181
997,0.508538007736206,2.0773823261261,2.02229905128479,1.08864068984985,1.44424700737,1.96129715442657,1.43266665935516,2.91148781776428,1.90499699115753,0.72346705198288,-0.0943064019083977,0.132431268692017,2.69124889373779,0.403947830200195,1.33600354194641,2.12708616256714,0.885988652706146,0.713039517402649,0.885863184928894,0.773554086685181
999,0.55626392364502,2.23462200164795,2.10696148872375,1.15131676197052,1.5346657037735,2.12399053573608,1.51439082622528,2.98520922660828,1.95219469070435,0.717071712017059,-0.0866819247603416,0.154316082596779,2.78730297088623,0.369402289390564,1.41127371788025,2.16947793960571,0.927627444267273,0.803830981254578,0.891816735267639,0.829430818557739
1001,0.589237451553345,2.40267968177795,2.2386326789856,1.22762262821198,1.61695158481598,2.27293658256531,1.58424246311188,3.0644097328186,1.99301254749298,0.717565596103668,-0.0573520958423615,0.193406581878662,2.924644947052,0.349997073411942,1.46992421150208,2.23301887512207,0.98512077331543,0.858485221862793,0.906925857067108,0.88314288854599
1003,0.629974246025085,2.56416082382202,2.36162161827087,1.29569530487061,1.70776319503784,2.41988110542297,1.65562224388123,3.14468836784363,2.04664754867554,0.753023564815521,-0.0233039017766714,0.215578302741051,3.08544135093689,0.377236515283585,1.52154672145844,2.32594895362854,1.05935943126678,0.905877590179443,0.937619388103485,0.925751984119415
1005,0.677612960338593,2.71289706230164,2.45192193984985,1.35763013362885,1.80784130096436,2.55234146118164,1.7359402179718,3.26607632637024,2.10991597175598,0.812158823013306,-0.0118745816871524,0.232143104076385,3.24194550514221,0.411094695329666,1.56364214420319,2.41341757774353,1.13354277610779,0.962461292743683,0.98432183265686,0.966600120067596
1007,0.734737038612366,2.82964444160461,2.54722762107849,1.40691459178925,1.90535569190979,2.64188766479492,1.81604480743408,3.40105891227722,2.19613790512085,0.887974381446838,-0.0254983771592379,0.252181142568588,3.38195943832397,0.442721247673035,1.6076807975769,2.49052262306213,1.19969344139099,1.02923822402954,1.01719999313354,1.0055490732193
1009,0.783335089683533,2.95699167251587,2.67309379577637,1.4303697347641,1.98942399024963,2.73151445388794,1.8730616569519,3.52102041244507,2.26985168457031,0.946647047996521,-0.0421461500227451,0.267757058143616,3.4916512966156,0.465972393751144,1.6586252450943,2.5762665271759,1.2678108215332,1.08833539485931,1.04857957363129,1.05379700660706
1011,0.834376573562622,3.1061224937439,2.79554486274719,1.4849568605423,2.05979228019714,2.84801554679871,1.94340717792511,3.62057709693909,2.34498286247253,1.01005041599274,-0.0597378984093666,0.288412809371948,3.62769818305969,0.474519997835159,1.70709633827209,2.65681600570679,1.35614907741547,1.15036141872406,1.10107660293579,1.12642061710358
