,"O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 13/O-PTIR","O-PTIR 14/O-PTIR"
1045,2.33479690551758,3.5386905670166,1.20592033863068,1.23842215538025,5.11050224304199,1.2165048122406,4.37906694412231,2.11738228797913,3.48775959014893,2.54182171821594,3.08346629142761,2.03702664375305,4.9387059211731,1.33878469467163,1.1033148765564,5.06572151184082,1.11553168296814,6.32938718795776,7.69628858566284
1047,2.40800428390503,3.55713033676147,1.20690906047821,1.25509357452393,5.1746940612793,1.23091721534729,4.48992300033569,2.1710991859436,3.63674187660217,2.60515975952148,3.05936789512634,2.1045184135437,5.11755418777466,1.33151268959045,1.10617971420288,5.0853419303894,1.11755812168121,6.38733196258545,7.63668775558472
1049,2.50106334686279,3.61089944839478,1.25316071510315,1.28461396694183,5.27332019805908,1.29970121383667,4.55427646636963,2.24223875999451,3.78360438346863,2.63892817497253,3.05808067321777,2.19393920898438,5.27491092681885,1.30887651443481,1.14076733589172,5.07277488708496,1.12190496921539,6.27882671356201,7.64030361175537
1051,2.58950710296631,3.65386486053467,1.28866410255432,1.33485198020935,5.36144399642944,1.37583911418915,4.54333114624023,2.34127712249756,3.92575860023499,2.65412402153015,3.07822966575623,2.24344754219055,5.37368249893188,1.26467108726501,1.15796530246735,5.07667255401611,1.14852178096771,5.98365211486816,7.70487451553345
1053,2.69899249076843,3.70768260955811,1.27796983718872,1.37482130527496,5.44095706939697,1.46086442470551,4.52565050125122,2.41406941413879,4.07756567001343,2.69917440414429,3.11250042915344,2.28738737106323,5.45095443725586,1.24316787719727,1.15973353385925,5.09646272659302,1.18495690822601,5.70026922225952,7.77651882171631
1055,2.86789679527283,3.73886108398438,1.27797520160675,1.44643783569336,5.55359411239624,1.52823686599731,4.52809381484985,2.46051168441772,4.2585973739624,2.69652342796326,3.12126898765564,2.29780006408691,5.5690746307373,1.20753216743469,1.18898689746857,5.12355947494507,1.24559330940247,5.60781192779541,7.89867115020752
1057,3.04001522064209,3.759929895401,1.33518517017365,1.56894266605377,5.71195459365845,1.56812369823456,4.56877994537354,2.53280210494995,4.46920442581177,2.66714262962341,3.11652994155884,2.31728219985962,5.77446460723877,1.12996244430542,1.27121388912201,5.185631275177,1.30589640140533,5.66464805603027,8.05222225189209
1059,3.16644096374512,3.792884349823,1.40108513832092,1.69094121456146,5.88312339782715,1.56441354751587,4.64482879638672,2.59937906265259,4.68350028991699,2.69607925415039,3.15352630615234,2.37077569961548,6.01272964477539,1.05445683002472,1.33335840702057,5.30952453613281,1.35442423820496,5.74546241760254,8.19904518127441
1061,3.26780343055725,3.85390043258667,1.41342878341675,1.8014622926712,6.04424333572388,1.53499674797058,4.73522424697876,2.68005037307739,4.91238784790039,2.7575318813324,3.19815397262573,2.40227508544922,6.28344249725342,1.00817465782166,1.34527993202209,5.43588447570801,1.39304387569427,5.82989740371704,8.2860107421875
1063,3.3763370513916,3.90405821800232,1.37610220909119,1.90292966365814,6.21633625030518,1.48759412765503,4.80426836013794,2.76917695999146,5.11939334869385,2.84228754043579,3.24358725547791,2.44948434829712,6.62751579284668,1.04859638214111,1.33510673046112,5.53266906738281,1.37914216518402,5.98435974121094,8.32507228851318
1065,3.47885370254517,3.94473719596863,1.34014809131622,1.99812114238739,6.44713068008423,1.49745213985443,4.78623867034912,2.8465793132782,5.31657743453979,2.95159912109375,3.30037021636963,2.53032374382019,7.01140308380127,1.1351455450058,1.31984305381775,5.58441543579102,1.34233391284943,6.24988460540771,8.44022274017334
1067,3.5287868976593,3.96564173698425,1.35691773891449,2.04942560195923,6.66492700576782,1.54972589015961,4.70595979690552,2.92634081840515,5.48811340332031,3.05191969871521,3.33290076255798,2.56658267974854,7.28487014770508,1.21115481853485,1.30454802513123,5.60918712615967,1.35379028320313,6.47823524475098,8.62070274353027
1069,3.52039194107056,3.9536292552948,1.36728322505951,2.07630562782288,6.80919027328491,1.56084668636322,4.62894439697266,2.96513175964355,5.56553602218628,3.08650398254395,3.31338787078857,2.55335354804993,7.42289447784424,1.24628138542175,1.2901839017868,5.57770776748657,1.37844896316528,6.62874126434326,8.73876476287842
1071,3.46736311912537,3.92185139656067,1.3614342212677,2.10574746131897,6.89287233352661,1.50756311416626,4.59227228164673,2.95573282241821,5.55353975296021,3.07650423049927,3.29640626907349,2.53224611282349,7.50380229949951,1.25344157218933,1.29336655139923,5.5102276802063,1.35580193996429,6.75133752822876,8.76142692565918
1073,3.41669392585754,3.88935470581055,1.36746644973755,2.13310074806213,6.90367126464844,1.39858329296112,4.55101013183594,2.93226742744446,5.50251483917236,3.06976389884949,3.27253031730652,2.48302483558655,7.52960681915283,1.23732781410217,1.26080191135406,5.41243934631348,1.29029166698456,6.83036661148071,8.69656276702881
