,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR"
1265,1.06592702865601,1.30343675613403,0.809353888034821,0.505213916301727,1.39133727550507,1.44611728191376,2.71942019462585,2.11776757240295,1.64205479621887,1.4849499464035,0.964828789234161,0.645920872688293
1267,1.08135366439819,1.32153761386871,0.820027649402618,0.500173568725586,1.38349223136902,1.43480384349823,2.65530586242676,2.11383318901062,1.64501535892487,1.47803056240082,0.964826881885529,0.648603081703186
1269,1.08514559268951,1.33359658718109,0.826598644256592,0.471649527549744,1.39068329334259,1.41699612140656,2.60974788665771,2.13518047332764,1.66016721725464,1.45855188369751,0.954467535018921,0.650064289569855
1271,1.07878947257996,1.33096385002136,0.812938570976257,0.440364152193069,1.41019189357758,1.37463998794556,2.59116315841675,2.15899610519409,1.65383076667786,1.44401204586029,0.943045854568481,0.645076513290405
1273,1.10250353813171,1.33417141437531,0.798755407333374,0.423123121261597,1.42279946804047,1.35463857650757,2.57849335670471,2.15624213218689,1.64545726776123,1.46177232265472,0.937119781970978,0.637370109558105
1275,1.13015449047089,1.33359670639038,0.790800750255585,0.431867688894272,1.41902875900269,1.35239124298096,2.55325102806091,2.15263772010803,1.63303816318512,1.48499143123627,0.920608818531036,0.640216052532196
1277,1.14901876449585,1.32778739929199,0.793336629867554,0.451009452342987,1.41850137710571,1.35473167896271,2.52555847167969,2.17241764068604,1.6107724905014,1.48733115196228,0.891120672225952,0.65047812461853
1279,1.15357458591461,1.34754550457001,0.798136055469513,0.46284881234169,1.44198703765869,1.36663067340851,2.49526333808899,2.18720698356628,1.59889757633209,1.48295605182648,0.852300763130188,0.654244244098663
1281,1.14158117771149,1.36737775802612,0.787375628948212,0.488164693117142,1.45292866230011,1.3676518201828,2.45873618125916,2.18138146400452,1.59705078601837,1.48646819591522,0.826951742172241,0.652910888195038
1283,1.12144863605499,1.38959491252899,0.770585656166077,0.527224957942963,1.4453809261322,1.36027956008911,2.43094515800476,2.15981793403625,1.58949267864227,1.5009833574295,0.816719651222229,0.646138906478882
1285,1.0892938375473,1.4166167974472,0.738647162914276,0.556671619415283,1.4450249671936,1.33607029914856,2.4095401763916,2.13325238227844,1.56504929065704,1.50475597381592,0.818627595901489,0.645510375499725
1287,1.05841541290283,1.43061518669128,0.710319936275482,0.54988694190979,1.46806204319,1.31438767910004,2.39389395713806,2.12546896934509,1.55424726009369,1.48723208904266,0.81609696149826,0.633891046047211
1289,1.05327081680298,1.43620455265045,0.692039787769318,0.525735974311829,1.48945009708405,1.29949629306793,2.38011813163757,2.12667870521545,1.55663359165192,1.46076655387878,0.81146913766861,0.620236396789551
1291,1.0712730884552,1.44520056247711,0.678407371044159,0.518555521965027,1.49951231479645,1.29444015026093,2.36984968185425,2.13621306419373,1.56291139125824,1.44340360164642,0.806590795516968,0.630917727947235
1293,1.08089709281921,1.46773886680603,0.682546496391296,0.527412831783295,1.50369381904602,1.28892087936401,2.35604500770569,2.14383149147034,1.57210004329681,1.44178295135498,0.7856125831604,0.635419309139252
1295,1.08614683151245,1.51171731948853,0.694684565067291,0.540430247783661,1.51293516159058,1.27664399147034,2.34469771385193,2.15139412879944,1.55107402801514,1.43701601028442,0.773184716701508,0.641839742660522
1297,1.09362936019897,1.55991530418396,0.721717596054077,0.552273809909821,1.51248490810394,1.25004005432129,2.33811116218567,2.16355013847351,1.51999175548553,1.44096374511719,0.779974043369293,0.652575254440308
1299,1.09720230102539,1.59112012386322,0.74821150302887,0.559063971042633,1.51570475101471,1.23717844486237,2.34300756454468,2.18141722679138,1.50229692459106,1.47156977653503,0.801138877868652,0.656691253185272
1301,1.10658991336823,1.60316944122314,0.768622100353241,0.551057934761047,1.51203227043152,1.24962902069092,2.35368132591248,2.19532036781311,1.51035261154175,1.49667680263519,0.806803226470947,0.637369871139526
1303,1.11689043045044,1.60393166542053,0.7843057513237,0.529043674468994,1.4981791973114,1.26518762111664,2.34871077537537,2.22471976280212,1.52244675159454,1.4888664484024,0.810381650924683,0.630985796451569
1305,1.12572729587555,1.60724174976349,0.800081074237823,0.506877839565277,1.48800933361053,1.27419459819794,2.33218455314636,2.24792218208313,1.53968608379364,1.47760617733002,0.817812025547028,0.638491630554199
1307,1.1279388666153,1.61530721187592,0.806211292743683,0.505387902259827,1.47977828979492,1.28021049499512,2.31566500663757,2.25792407989502,1.54814159870148,1.4812673330307,0.81157511472702,0.643898248672485
1309,1.13869953155518,1.61596059799194,0.797344744205475,0.521375119686127,1.48322176933289,1.28133344650269,2.29505562782288,2.25415015220642,1.55050325393677,1.48678803443909,0.787587881088257,0.639470219612122
1311,1.14445865154266,1.62411034107208,0.780572652816772,0.528745293617249,1.48469543457031,1.26548933982849,2.28349232673645,2.24526023864746,1.55302023887634,1.47064244747162,0.755080342292786,0.639985382556915
1313,1.12928473949432,1.64184665679932,0.768308937549591,0.53604257106781,1.48523223400116,1.25179076194763,2.2779655456543,2.24237132072449,1.55257093906403,1.44619059562683,0.727995455265045,0.646615564823151
1315,1.10733032226563,1.6461615562439,0.77208536863327,0.539518356323242,1.48535048961639,1.23111188411713,2.27017664909363,2.24305295944214,1.5483615398407,1.42939674854279,0.715807318687439,0.640280723571777
1317,1.10109329223633,1.65024280548096,0.77877950668335,0.530093610286713,1.48101830482483,1.20788049697876,2.25476217269897,2.23265838623047,1.53471505641937,1.41814422607422,0.718104600906372,0.630291759967804
