,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR","O-PTIR 13/O-PTIR","O-PTIR 14/O-PTIR","O-PTIR 15/O-PTIR","O-PTIR 16/O-PTIR"
979,-0.111793920397758,0.194321826100349,0.0735817700624466,-0.00595633871853352,0.239658817648888,1.09740090370178,2.1555073261261,2.32310247421265,0.775126695632935,-0.0458511859178543,0.345624327659607,2.30132985115051,0.0303340665996075,0.956218659877777,0.0529595203697681,0.170168593525887
981,-0.12623019516468,0.193459004163742,0.0761640518903732,0.0407376773655415,0.271988600492477,1.14857804775238,2.24169182777405,2.40637946128845,0.805955052375793,-0.00296022044494748,0.347023814916611,2.37708830833435,0.0760595500469208,1.03141796588898,0.0624697022140026,0.207588464021683
983,-0.0963287055492401,0.225162848830223,0.110087454319,0.0835201442241669,0.306780576705933,1.16226434707642,2.29098916053772,2.4981803894043,0.834040105342865,-0.0120509089902043,0.378861159086227,2.45722007751465,0.123059898614883,1.1155287027359,0.0889463052153587,0.260525912046432
985,-0.0522586740553379,0.238142549991608,0.144823119044304,0.0896581187844276,0.349916011095047,1.14106166362762,2.30667757987976,2.59371399879456,0.859528243541718,-0.0504246912896633,0.471798092126846,2.48943305015564,0.169278532266617,1.17562353610992,0.170317769050598,0.322048187255859
987,-0.0243170894682407,0.231750383973122,0.186856344342232,0.0891062170267105,0.411674082279205,1.13966381549835,2.33400011062622,2.69501566886902,0.883032441139221,-0.0801625102758408,0.538970291614532,2.51311326026917,0.207585021853447,1.21115684509277,0.260808825492859,0.387654364109039
989,-0.0136434808373451,0.210803583264351,0.197096884250641,0.136491268873215,0.465252578258514,1.18511986732483,2.38400506973267,2.77959537506104,0.908414304256439,-0.0935531035065651,0.573598146438599,2.54825043678284,0.245260834693909,1.25701105594635,0.306651890277863,0.424462974071503
991,-0.0288807824254036,0.203192800283432,0.174384713172913,0.194808825850487,0.478469133377075,1.26350510120392,2.4377875328064,2.85831022262573,0.968046724796295,-0.0756265074014664,0.610865235328674,2.59848475456238,0.292247653007507,1.2863597869873,0.349488943815231,0.462767243385315
993,-0.0508520789444447,0.226468026638031,0.172948598861694,0.23159521818161,0.490737944841385,1.34548783302307,2.46610760688782,2.92557191848755,1.02974653244019,-0.0625079721212387,0.663047194480896,2.65976119041443,0.29965016245842,1.30663502216339,0.392941027879715,0.501162707805634
995,-0.066879965364933,0.274726957082748,0.204664766788483,0.260707795619965,0.499513387680054,1.40761566162109,2.4680380821228,3.00756239891052,1.05758273601532,-0.0487044528126717,0.705718517303467,2.73156762123108,0.29001721739769,1.32828390598297,0.425348341464996,0.531862437725067
997,-0.0834516137838364,0.312949329614639,0.220612123608589,0.309468448162079,0.476278632879257,1.46699464321136,2.49125790596008,3.10321283340454,1.06257975101471,-0.0407905876636505,0.752090215682983,2.80795621871948,0.275600671768188,1.34464490413666,0.464693993330002,0.555804431438446
999,-0.088457964360714,0.329985529184341,0.220500394701958,0.360515028238297,0.454048871994019,1.53756725788116,2.55093479156494,3.20768237113953,1.05730938911438,-0.0259040854871273,0.803453922271729,2.88771510124207,0.287022769451141,1.3972452878952,0.516090989112854,0.567576944828033
1001,-0.0803718641400337,0.320777982473373,0.223113343119621,0.388276636600494,0.468287527561188,1.61770284175873,2.64285397529602,3.31913661956787,1.0632643699646,-0.030265687033534,0.863820970058441,2.96283721923828,0.304497569799423,1.46049797534943,0.587533235549927,0.559557020664215
1003,-0.0437954626977444,0.31149822473526,0.228223040699959,0.38443312048912,0.522851228713989,1.6963449716568,2.7284791469574,3.42714786529541,1.09411370754242,-0.0612039677798748,0.897660970687866,3.02977561950684,0.337673425674438,1.51508986949921,0.639606118202209,0.563665270805359
1005,-0.0212211683392525,0.314368009567261,0.223803773522377,0.375686973333359,0.569316923618317,1.75401854515076,2.79398536682129,3.55370497703552,1.15151596069336,-0.0656210035085678,0.914165198802948,3.08959674835205,0.39061176776886,1.57008147239685,0.684541463851929,0.584864914417267
1007,-0.0255231615155935,0.342402070760727,0.232551231980324,0.380713224411011,0.592872321605682,1.81629371643066,2.83895587921143,3.68703675270081,1.20789897441864,-0.0689153075218201,0.930118024349213,3.14016962051392,0.43443551659584,1.63378381729126,0.769667088985443,0.609501361846924
1009,-0.0266060121357441,0.369675368070602,0.236630037426949,0.421207934617996,0.621454000473022,1.8876086473465,2.89271664619446,3.83846163749695,1.25412690639496,-0.0741300582885742,0.975221633911133,3.19221425056458,0.456899553537369,1.67861771583557,0.86195582151413,0.647426187992096
1011,-0.0320345610380173,0.393256932497025,0.232552155852318,0.490296959877014,0.66884833574295,1.9791773557663,2.96179437637329,4.01040172576904,1.29153788089752,-0.0637209638953209,1.0201268196106,3.27897024154663,0.483172714710236,1.69236278533936,0.902373492717743,0.689833164215088
1013,-0.054865650832653,0.417265385389328,0.224921390414238,0.560734868049622,0.698781609535217,2.08154392242432,3.02894854545593,4.1724009513855,1.29937350749969,-0.0532430484890938,1.04417335987091,3.38472390174866,0.511609077453613,1.6994708776474,0.917095243930817,0.729538261890411
1015,-0.0629551857709885,0.448114931583405,0.217922523617744,0.609918713569641,0.714306890964508,2.17643690109253,3.09496855735779,4.32519388198853,1.32078838348389,-0.0414248630404472,1.05231034755707,3.47203993797302,0.547221064567566,1.73537659645081,0.933941602706909,0.722388029098511
1017,-0.0448277443647385,0.487163305282593,0.226811453700066,0.641870260238647,0.738683998584747,2.25849914550781,3.1387095451355,4.46629047393799,1.34251081943512,-0.0348512157797813,1.05653715133667,3.54574799537659,0.589270651340485,1.78608775138855,0.991170823574066,0.716095745563507
1019,-0.0277915298938751,0.501439154148102,0.251345664262772,0.679277837276459,0.766277432441711,2.32979798316956,3.17091822624207,4.60330009460449,1.34930610656738,-0.0158128179609776,1.08818531036377,3.6041784286499,0.630115985870361,1.83286941051483,1.06562435626984,0.741324901580811
