,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 1/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR"
987,2.40888667106628,1.6363183259964,3.37525200843811,1.34555602073669,2.06734657287598,4.28264236450195,1.89858102798462,4.02389144897461,2.75217294692993,-0.147849351167679,4.37510442733765,0.309124112129211
989,2.43759679794312,1.65865755081177,3.36958074569702,1.35060620307922,1.98312973976135,4.39007472991943,1.91650593280792,4.06270837783813,2.86657071113586,-0.138468787074089,4.33426666259766,0.328030526638031
991,2.3426992893219,1.62589013576508,3.36520910263062,1.40793490409851,1.93908786773682,4.48886013031006,1.89551913738251,4.03874444961548,2.88788151741028,-0.142933413386345,4.21181583404541,0.326039433479309
993,2.18003845214844,1.58485007286072,3.36981797218323,1.47987449169159,1.95053398609161,4.4861798286438,1.83045935630798,3.98936557769775,2.7914252281189,-0.1398666203022,4.18546485900879,0.30235829949379
995,2.03129601478577,1.48833513259888,3.38286852836609,1.54605078697205,1.93775832653046,4.40843963623047,1.69851362705231,3.98898005485535,2.61372447013855,-0.133451998233795,4.1892294883728,0.27789893746376
997,1.84282433986664,1.30074298381805,3.42354345321655,1.61944055557251,1.90683543682098,4.35863494873047,1.52554547786713,3.9939501285553,2.38713431358337,-0.120598122477531,4.04288053512573,0.26601305603981
999,1.46324253082275,1.06402134895325,3.45656371116638,1.70800757408142,1.90501511096954,4.32821321487427,1.34444999694824,3.92613124847412,2.16466593742371,-0.058958251029253,3.7685980796814,0.262159377336502
1001,0.952352464199066,0.811363279819489,3.46977663040161,1.84640228748322,1.96272325515747,4.18156480789185,1.13994133472443,3.80419635772705,1.97680532932281,0.0351121611893177,3.51819634437561,0.263129770755768
1003,0.515247821807861,0.558720111846924,3.46387887001038,2.02168941497803,2.00936818122864,3.97044396400452,0.901739120483398,3.67106509208679,1.80924391746521,0.103239342570305,3.3734028339386,0.260133922100067
1005,0.218831852078438,0.364146709442139,3.42246770858765,2.19479036331177,2.01067972183228,3.79702401161194,0.672963380813599,3.50822401046753,1.6407595872879,0.124064207077026,3.25667953491211,0.224881678819656
1007,0.150316745042801,0.202712014317513,3.3949830532074,2.32319402694702,2.0279381275177,3.70803689956665,0.482862234115601,3.30553126335144,1.48377335071564,0.145663872361183,3.12657809257507,0.210192337632179
1009,0.291249692440033,0.063776969909668,3.39209032058716,2.43015551567078,2.09312772750854,3.63602304458618,0.305575042963028,3.11947345733643,1.36966168880463,0.205414965748787,3.05572199821472,0.225160837173462
1011,0.473060816526413,-0.0128926606848836,3.41501903533936,2.52839779853821,2.15235877037048,3.49624013900757,0.180782213807106,2.97405409812927,1.29593658447266,0.281129002571106,3.0382182598114,0.234423726797104
1013,0.584222376346588,-0.00303234462626278,3.45463109016418,2.58869647979736,2.18887281417847,3.34970045089722,0.103211343288422,2.86034798622131,1.25997519493103,0.322753846645355,2.97817611694336,0.229935824871063
1015,0.665830612182617,0.0219420529901981,3.48927044868469,2.61605286598206,2.21730804443359,3.31217980384827,0.0633125603199005,2.80057597160339,1.23645114898682,0.33386155962944,2.88459491729736,0.236800447106361
1017,0.761166453361511,0.0295412372797728,3.5065176486969,2.62796974182129,2.27038407325745,3.33323407173157,0.0387851186096668,2.76551651954651,1.20941400527954,0.336223214864731,2.84868741035461,0.270549297332764
1019,0.816413044929504,0.0237406920641661,3.52013468742371,2.66549491882324,2.34828162193298,3.3072338104248,0.0279347188770771,2.75088715553284,1.19509041309357,0.364256381988525,2.82573938369751,0.297006696462631
1021,0.802153527736664,0.0128937792032957,3.55226469039917,2.73400950431824,2.41191720962524,3.26194787025452,0.0349875949323177,2.74594712257385,1.19461143016815,0.42381152510643,2.77445220947266,0.293411612510681
