,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR","O-PTIR 13/O-PTIR","O-PTIR 14/O-PTIR","O-PTIR 15/O-PTIR","O-PTIR 16/O-PTIR","O-PTIR 17/O-PTIR","O-PTIR 18/O-PTIR"
1019,0.815328180789948,1.52604269981384,0.094394139945507,0.296289473772049,1.54401314258575,0.46425873041153,0.362505376338959,0.670821845531464,0.941735506057739,0.424777328968048,0.839062094688416,1.54095041751862,0.241138100624084,0.894289493560791,0.788098990917206,0.288674712181091,0.942434251308441,0.358045846223831
1021,0.796831667423248,1.49977326393127,0.105366118252277,0.297779262065887,1.54942095279694,0.465889275074005,0.346330940723419,0.667330265045166,0.931993722915649,0.425952076911926,0.819056689739227,1.51003777980804,0.238425776362419,0.881984829902649,0.78343939781189,0.294729351997375,0.934262990951538,0.350081473588943
1023,0.773331880569458,1.47242212295532,0.102422580122948,0.300519704818726,1.56305503845215,0.467669695615768,0.331389188766479,0.672873556613922,0.922432363033295,0.427764862775803,0.804293096065521,1.49653935432434,0.237526044249535,0.876799404621124,0.78145557641983,0.294050484895706,0.920023083686829,0.345873296260834
1025,0.752903044223785,1.45475959777832,0.0868074297904968,0.304380655288696,1.56254935264587,0.466685622930527,0.328887283802032,0.67559939622879,0.905907571315765,0.436774164438248,0.782525300979614,1.4834611415863,0.239553794264793,0.873615860939026,0.770766139030457,0.285758972167969,0.912836313247681,0.342338681221008
1027,0.732606172561646,1.43294334411621,0.0803440883755684,0.305045366287231,1.55668807029724,0.462561041116714,0.334473609924316,0.667941927909851,0.896256029605865,0.445437103509903,0.76285582780838,1.46518433094025,0.251161187887192,0.863044440746307,0.759784638881683,0.283086240291595,0.907662272453308,0.346651285886765
1029,0.710469782352448,1.41094374656677,0.0835948958992958,0.312108159065247,1.54450488090515,0.463725656270981,0.340479761362076,0.652903437614441,0.897851824760437,0.455547392368317,0.747087955474854,1.44057953357697,0.259368181228638,0.852437496185303,0.733934640884399,0.281056076288223,0.899187207221985,0.35805481672287
1031,0.688981175422668,1.39731538295746,0.0843164995312691,0.315236240625381,1.54586577415466,0.473678380250931,0.338223457336426,0.644721627235413,0.892670094966888,0.46310830116272,0.746380925178528,1.41580700874329,0.264063507318497,0.843321621417999,0.696714758872986,0.264857023954391,0.891897678375244,0.363711506128311
1033,0.668696463108063,1.40095555782318,0.0838925167918205,0.314809679985046,1.56748723983765,0.487843811511993,0.325268357992172,0.6507688164711,0.884113967418671,0.460495859384537,0.741485953330994,1.38902640342712,0.274121940135956,0.837625801563263,0.669911861419678,0.248566180467606,0.887296259403229,0.365353167057037
1035,0.655014991760254,1.40707206726074,0.0864264518022537,0.310720950365067,1.57618737220764,0.489198833703995,0.31097412109375,0.657292425632477,0.876809895038605,0.453483909368515,0.726018309593201,1.37490141391754,0.282684922218323,0.834803938865662,0.67139333486557,0.241925179958344,0.898193955421448,0.366625279188156
1037,0.641483187675476,1.39868593215942,0.0873890519142151,0.305447548627853,1.59786534309387,0.481081813573837,0.301531970500946,0.664780914783478,0.867455363273621,0.445477277040482,0.709492325782776,1.37023544311523,0.288223683834076,0.834270477294922,0.68003648519516,0.241557329893112,0.914739429950714,0.365389078855515
