,O-PTIR 1/O-PTIR,O-PTIR 2/O-PTIR,O-PTIR 3/O-PTIR,O-PTIR 4/O-PTIR,O-PTIR 5/O-PTIR,O-PTIR 6/O-PTIR,O-PTIR 7/O-PTIR,O-PTIR 8/O-PTIR,O-PTIR 9/O-PTIR,O-PTIR 10/O-PTIR,O-PTIR 11/O-PTIR,O-PTIR 12/O-PTIR,O-PTIR 13/O-PTIR,O-PTIR 14/O-PTIR,O-PTIR 15/O-PTIR,O-PTIR 16/O-PTIR,O-PTIR 17/O-PTIR,O-PTIR 18/O-PTIR,O-PTIR 19/O-PTIR,O-PTIR 20/O-PTIR,,,
1053,2.499070883,0.465719581,0.469932795,0.658672929,-0.009647659,0.249404207,0.964875221,-0.057882663,0.612560391,-0.079681121,0.454756856,0.465561956,0.440270782,0.419258475,0.733844757,0.310419679,0.530074835,0.290780842,0.569512606,0.95344758,,,
1055,2.681007624,0.548715889,0.504779696,0.64723748,-0.014989579,0.230423078,1.015443087,-0.006736634,0.657096624,-0.033331532,0.515865207,0.555409253,0.448493034,0.394141227,0.843160093,0.355631441,0.563044131,0.336208999,0.596180558,0.977771103,,,
1057,2.853863478,0.664612591,0.537741303,0.654010952,-0.013579873,0.202097699,1.071339726,0.040330391,0.713170886,0.04199931,0.577686608,0.661244929,0.449115664,0.372051895,0.937106013,0.432226658,0.593965411,0.386945695,0.643345952,1.010283113,,,
1059,3.01464653,0.794656515,0.565405726,0.651613474,-0.022068126,0.185978279,1.142177343,0.098867662,0.773341119,0.111648798,0.632282674,0.763086081,0.453639358,0.352797568,0.984220505,0.533639371,0.641846657,0.432237685,0.687665284,1.054044485,,,
1061,3.161949396,0.882918894,0.582345009,0.620585799,-0.019416124,0.19150953,1.20314455,0.159681842,0.797414362,0.152150407,0.686390638,0.830951869,0.460014045,0.34222424,0.998218179,0.588660181,0.667133331,0.458976865,0.734501421,1.060152173,,,
1063,3.243622065,0.910998583,0.580172658,0.593061507,-0.013270094,0.229391634,1.223804116,0.203886911,0.796972275,0.172416836,0.733498752,0.871100426,0.477518082,0.330972612,0.987731993,0.594479501,0.664214492,0.447207481,0.775863647,1.041929364,,,
1065,3.242737055,0.89739722,0.568844259,0.585423827,0.000114024,0.265979201,1.218123436,0.218410239,0.803519785,0.190019131,0.771662652,0.893946528,0.501181901,0.322967619,0.969335973,0.573587239,0.654574692,0.434131205,0.794276655,1.051022172,,,
1067,3.199455023,0.886972368,0.559516847,0.597023785,0.002294283,0.278140903,1.221175194,0.216227323,0.815894842,0.205079988,0.796008706,0.904303968,0.520109057,0.336654812,0.958758414,0.548573554,0.65399611,0.42694661,0.801450074,1.086061954,,,
1069,3.133940697,0.884621441,0.541631162,0.614636242,-0.000855492,0.274559826,1.221848965,0.184214652,0.816127658,0.199036703,0.793099284,0.88192445,0.524832368,0.355034202,0.944326043,0.515083492,0.652146459,0.426800072,0.807661653,1.094057083,,,
1071,3.04338026,0.892312527,0.537029505,0.621673942,0.001367411,0.26985544,1.211643934,0.150036529,0.794886887,0.177824765,0.762713969,0.846792698,0.519447029,0.349940896,0.937769115,0.479087532,0.644130766,0.417530656,0.800081074,1.088881254,,,
